Time;Bead0-x;Bead0-y;Bead1-x;Bead1-y
0;49.3386;47.89490;61.351;22.0494
53;49.2928;47.873953;61.2613;22.0082
129;49.4371;47.9683129;61.4727;22.1582
178;49.4412;48.1618178;61.4004;22.2213
227;49.4755;48.2011227;61.4546;22.4464
276;49.4107;48.0382276;61.4167;22.214
326;49.3992;47.9752326;61.4861;22.0633
375;49.3468;47.7641375;61.2323;21.9255
425;49.3177;47.7952425;61.3915;21.9997
475;49.3645;47.979475;61.256;22.0563
526;49.4668;48.0189526;61.375;22.146
576;49.3876;47.9178576;61.333;22.0657
626;49.3193;47.8014626;61.3571;22.0379
675;49.3873;47.9294675;61.427;22.0118
726;49.3383;47.8827726;61.3352;22.0508
776;49.2636;47.8396776;61.3476;21.9958
826;49.3307;47.9115826;61.3792;22.0145
875;49.4086;47.9796875;61.4286;22.0855
926;49.3649;48.0181926;61.4222;22.1789
976;49.4036;48.0788976;61.4099;22.2815
1026;49.3481;47.97451026;61.3605;22.1941
1075;49.2358;47.84181075;61.2651;21.9588
1126;49.2795;47.72431126;61.2173;21.8671
1176;49.3395;47.88541176;61.2146;21.9413
1226;49.4051;47.97551226;61.4357;22.1408
1276;49.3561;47.98431276;61.3994;22.1186
1326;49.3289;47.79591326;61.3195;22.0049
1376;49.4062;47.89151376;61.3471;22.0128
1426;49.3519;47.92791426;61.3606;22.0009
1475;49.3906;48.00631475;61.3524;22.1612
1525;49.3952;47.99651525;61.3164;22.1084
1576;49.4058;47.97721576;61.3888;22.2359
1626;49.4109;48.00591626;61.3651;22.0859
1676;49.3073;47.98781676;61.3399;22.1655
1726;49.2978;47.87821726;61.2685;22.056
1776;49.1169;47.50631776;61.3612;22.0505
1826;49.3168;46.75571826;61.3079;21.9986
1876;50.04;46.13421876;61.3597;22.0157
1926;51.0093;46.60081926;61.397;22.0885
1975;51.0094;47.35981975;61.4269;22.139
2025;50.4842;47.9572025;61.3557;22.0108
2076;49.5175;47.99312076;61.4064;22.0099
2126;49.3591;47.82992126;61.3138;21.9618
2176;49.2548;47.89122176;61.2516;21.9988
2226;49.2574;47.82652226;61.317;21.9896
2276;49.228;47.82942276;61.3276;22.0879
2326;49.1148;47.56852326;61.3358;22.0071
2376;49.4846;46.89082376;61.3002;22.1637
2425;49.7818;46.49862425;61.4223;22.1832
2476;49.8148;46.44152476;61.3965;22.1617
2526;49.7633;46.3672526;61.3116;21.9964
2575;50.323;46.25272575;61.3784;22.0539
2626;51.0047;46.47092626;61.419;22.0954
2675;51.1285;46.86712675;61.487;22.2028
2726;51.0024;47.20132726;61.3757;22.0689
2775;50.7204;47.66012775;61.417;22.0125
2826;49.9039;48.14142826;61.3538;22.0651
2876;49.1297;47.54952876;61.3593;22.1431
2926;49.2573;46.83032926;61.3497;22.0788
2976;49.8684;46.30262976;61.3234;22.0247
3025;50.3099;46.09083025;61.3222;21.9051
3076;50.3468;46.12473076;61.2891;22.0055
3126;50.3921;46.19673126;61.3365;22.0067
3176;50.4324;46.25683176;61.3328;21.9987
3225;50.4022;46.24173225;61.3281;21.9829
3275;50.4764;46.13093275;61.3647;21.921
3326;50.3954;46.19173326;61.3319;22.0007
3375;50.6322;46.36053375;61.394;22.0982
3426;51.0869;47.08213426;61.3554;22.224
3476;50.9638;47.32053476;61.3343;22.0353
3526;50.4075;48.00143526;61.3835;22.0559
3575;49.2722;47.9353575;61.3766;22.0813
3626;49.2669;47.18683626;61.464;22.1852
3675;49.8641;46.43143675;61.3082;22.1618
3726;50.9273;46.47133726;61.3139;22.0801
3776;51.0783;47.07593776;61.341;22.1071
3825;50.7441;47.52753825;61.3016;22.0836
3875;50.0481;47.98673875;61.3348;21.9595
3926;49.0477;47.36753926;61.3878;21.9976
3975;49.3012;46.75883975;61.2799;21.976
4026;50.1066;46.23164026;61.3544;21.9904
4076;51.1429;46.86524076;61.3781;22.139
4126;50.9879;47.55484126;61.4434;22.1581
4176;50.5001;48.01334176;61.3899;22.156
4226;49.3496;47.96614226;61.2669;21.9264
4276;49.0911;47.3544276;61.3453;21.9909
4325;49.1725;47.00784325;61.3508;21.9992
4375;49.616;46.41624375;61.2895;22.0033
4425;50.5751;46.32024425;61.3842;21.9907
4476;51.2069;46.96194476;61.3681;22.013
4526;50.9831;47.47724526;61.4008;22.1746
4576;50.4829;48.14964576;61.386;22.2077
4625;49.5408;48.11224625;61.4654;22.1211
4675;49.2111;47.26024675;61.3557;21.9995
4726;49.4513;46.88924726;61.3738;22.0821
4776;50.0045;46.28544776;61.4083;22.1454
4826;50.7912;46.33024826;61.2865;21.9885
4876;51.1318;46.72584876;61.2814;21.8734
4925;50.9466;47.03794925;61.2682;21.7702
4976;50.6993;47.77884976;61.2757;21.9518
5026;50.096;48.17765026;61.4573;22.1562
5076;49.3997;48.05795076;61.3364;22.2363
5125;49.1642;47.39855125;61.3994;22.1668
5176;49.2633;47.05785176;61.3597;22.0844
5226;49.8179;46.28495226;61.4822;22.0879
5276;50.4603;46.25285276;61.3272;22.0261
5325;51.0514;46.65595325;61.2837;21.9929
5376;50.9903;47.11055376;61.3067;22.0145
5426;50.8017;47.41435426;61.273;21.9842
5476;50.7446;47.78075476;61.4127;22.074
5526;49.9626;48.11765526;61.2974;22.1762
5576;49.0843;47.61455576;61.2757;22.0287
5626;49.3882;46.87825626;61.359;22.0427
5676;49.7251;46.42045676;61.2474;22.0126
